"Species","Season","Site","Start","End","City","Long","Lat","Crs","Week_1","Week_2","Week_3","Week_4","Week_5","Week_6","Week_7","Week_8","Week_9"
"coyote","JA18","D04-DNP1","2017-12-18","2018-02-14","chil",-87.78423327,41.96512952,4326,NA,NA,NA,0,0,1,0,0,NA
"coyote","JA18","D04-EDW0","2017-12-18","2018-02-14","chil",-87.7646423,41.99098007,4326,NA,NA,NA,1,NA,1,0,0,NA
"coyote","JA18","D04-RDP1","2017-12-18","2018-02-14","chil",-87.78559613,41.98961368,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"coyote","JA18","D04-ROS0","2017-12-18","2018-02-14","chil",-87.68932042,41.98771934,4326,NA,NA,NA,NA,NA,1,0,NA,NA
"coyote","JA18","D05-BRP1","2017-12-18","2018-02-14","chil",-87.80710669,42.00945005,4326,NA,NA,NA,0,0,0,0,0,NA
"coyote","JA18","D05-MIA1","2017-12-18","2018-02-14","chil",-87.79567324,42.02421505,4326,NA,NA,NA,1,0,0,1,0,0
"coyote","JA18","D05-PRC1","2017-12-18","2018-02-14","chil",-87.8318759,42.02154012,4326,NA,NA,NA,1,1,1,1,0,1
"coyote","JA18","D06-KCG1","2017-12-18","2018-02-14","chil",-87.85328609,42.07983052,4326,NA,NA,NA,0,1,0,0,0,0
"coyote","JA18","D07-ASC0","2017-12-18","2018-02-14","chil",-87.88662949,42.05985363,4326,NA,NA,NA,0,0,1,1,0,0
"coyote","JA18","D07-NOC1","2017-12-18","2018-02-14","chil",-87.87945486,42.09431792,4326,NA,NA,NA,0,NA,1,1,NA,NA
"coyote","JA18","D08-CCC1","2017-12-18","2018-02-14","chil",-87.92248236,42.15870422,4326,NA,NA,NA,0,0,1,0,NA,NA
"coyote","JA18","D08-DAW0","2017-12-18","2018-02-14","chil",-87.89377889,42.12577912,4326,NA,NA,NA,1,0,1,0,1,0
"coyote","JA18","D08-DAW2","2017-12-18","2018-02-14","chil",-87.90145123,42.13530185,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"coyote","JA18","D09-CLG0","2017-12-18","2018-02-14","chil",-87.9176414,42.187657685,4326,NA,NA,NA,1,1,NA,NA,NA,NA
"coyote","JA18","D09-RYW1","2017-12-18","2018-02-14","chil",-87.90419482,42.1775919,4326,NA,NA,NA,0,0,0,0,0,0
"coyote","JA18","D09-VTC1","2017-12-18","2018-02-14","chil",-87.9292671,42.20377534,4326,NA,NA,NA,0,0,0,0,0,0
"coyote","JA18","D10-CAN0","2017-12-18","2018-02-14","chil",-87.93847762,42.24007189,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"coyote","JA18","D10-MAC1","2017-12-18","2018-02-14","chil",-87.92753011,42.25476444,4326,NA,NA,NA,0,1,1,0,1,0
"coyote","JA18","D10-VHC1","2017-12-18","2018-02-14","chil",-87.94735573,42.22265299,4326,NA,NA,NA,1,1,1,0,1,1
"coyote","JA18","J01-BBS1","2017-12-18","2018-02-14","chil",-87.61051042,41.84834938,4326,NA,NA,NA,0,1,0,0,0,NA
"coyote","JA18","J01-LMP1","2017-12-18","2018-02-14","chil",-87.61053666,41.83717173,4326,NA,NA,NA,1,0,0,0,0,NA
"coyote","JA18","J01-NOR1","2017-12-18","2018-02-14","chil",-87.60790591,41.86080165,4326,NA,NA,NA,0,1,0,0,0,NA
"coyote","JA18","J01-SEP1","2017-12-18","2018-02-14","chil",-87.63898576,41.90142019,4326,NA,NA,NA,0,NA,0,0,0,NA
"coyote","JA18","J01-SKP1","2017-12-18","2018-02-14","chil",-87.66100717,41.87989095,4326,NA,NA,NA,0,0,0,0,0,NA
"coyote","JA18","J01-UIC1","2017-12-18","2018-02-14","chil",-87.6460853,41.86897406,4326,NA,NA,NA,1,0,0,0,0,NA
"coyote","JA18","R02-DPG1","2017-12-18","2018-02-14","chil",-87.69969807,41.86036917,4326,NA,NA,NA,0,0,0,0,0,NA
"coyote","JA18","R02-FRP1","2017-12-18","2018-02-14","chil",-87.73276152,41.86167611,4326,NA,NA,NA,0,0,0,0,0,NA
"coyote","JA18","R03-AUP1","2017-12-18","2018-02-14","chil",-87.76897765,41.88766256,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"coyote","JA18","R03-CPG1","2017-12-18","2018-02-14","chil",-87.7721358,41.87566237,4326,NA,NA,NA,0,NA,1,NA,NA,NA
"coyote","JA18","R03-EUC1","2017-12-18","2018-02-14","chil",-87.79182537,41.86573343,4326,NA,NA,NA,0,0,0,0,0,NA
