Site,Date,Time,Time_L,Species,GroupSize,HeightM,DistanceM,CompassDegree,UtmX,UtmY,Lat,Long,AccuracyM,ElevationM,TrailMarker,Transect,Habitat,Scientist,ActivityBehavior,Cue,ID,Atsrix
2AJB,05-11-10,19H 11M 0S,19:11,Microcebus rufus,1,2,2,140,352217,8318603,-15.204381,49.624169,7,481,525,R,Ridge,SF,Jumping,NA,188,1
2AJB,10-11-10,18H 55M 0S,18:55,Microcebus rufus,1,2,2,150,351785,8319726,-15.194206,49.620214,5,382,950,A,Ridge,SF,Stop,NA,189,1
2AJB,12-11-10,18H 52M 0S,18:52,Microcebus rufus,1,3,3,80,352348,8319016,-15.200655,49.625413,6,528,1025,R,Ridge,SF,Jumping,NA,190,1
2MGB,12-06-12,20H 22M 0S,20:22,Avahi laniger,1,6,6,60,338763,8306529,-15.312703,49.498169,4,615,400,M,Ridge,SF,Stop,See,191,0
2MGB,25-06-12,18H 6M 0S,18:06,Avahi laniger,1,6,6,25,340211,8305291,-15.323982,49.511574,4,381,1925,R,Ridge,SF,Stop,See,192,0
2MGB,12-06-12,20H 38M 0S,20:38,Eulemur albifrons,NA,NA,20,300,338944,8306582,-15.312236,49.499858,6,610,200,M,Ridge,SF,Sleeping,Hear,193,0
2MGB,11-07-12,8H 45M 0S,08:45,Eulemur albifrons,5,8,8,10,339322,8306309,-15.314727,49.50336,3,609,225,R,Ridge,SF,"Stop, Feeding",See,194,0
2MGB,12-06-12,20H 42M 0S,20:42,Microcebus rufus,1,8,8,40,338949,8306578,-15.312272,49.499904,6,609,200,M,Ridge,SF,Stop,See,195,1
4AJB,23-08-12,19H 20M 0S,19:20,Avahi laniger,2,6,6,210,352366,8319054,-15.200313,49.625582,5,546,1250,R,Ridge,SF,Stop,See,196,0
4AJB,04-10-12,19H 31M 0S,19:31,Avahi laniger,1,10,10,160,352224,8318711,-15.203405,49.624241,5,502,800,R,Ridge,SF,Stop,See,197,0
