"sites","LocationName.geometry","water","lawn_grass","urban_low","urban_med","urban_high","forest","shrub","herbaceous","wetland","ag"
"S06-CBW0",c(-87.89252291, 41.72879771),0.0822790339589119,0.134030267596245,0.268300622701645,0.0935981646180153,0.00662248721346259,0.0918860177043825,0.00104829017072916,0.00466681504622102,0.314416463021189,0.00210356316529214
"S07-ARG1",c(-87.97052731, 41.71888815),0.00434936210513115,0.0735512301325798,0.134260803461075,0.0851069390773773,0.0492533966898918,0.458609756082296,0,0.0040054046548903,0.125834699720144,0.0516659789718688
"S07-ARG2",c(-87.98063145, 41.70899378),0,0.116001769900322,0.209959015250206,0.189611360430717,0.122756250202656,0.298652293160558,0.000261995650362223,0.0314987637102604,0.0167857877677307,0.0084468862041831
"S07-STJ1",c(-87.93211936, 41.69819734),0.107879713177681,0.0604677498340607,0.0790374651551247,0.111782185733318,0.0785237550735474,0.15998109371867,0.00340363080613315,0.0190059337764978,0.378870207816362,0
"S08-WGL1",c(-87.99914707, 41.69378812),0.00531073845922947,0.0834211111068726,0.131757766008377,0.0949882492423058,0.035430271178484,0.440420473692939,0.00943866837769747,0.0542738325893879,0.114617090672255,0.017042038962245
"S08-WGL3",c(-87.95901986, 41.7045601),0.028680294752121,0.0346515849232674,0.0518189631402493,0.0219408348202705,0.00112358061596751,0.513885784894228,0.00381827121600509,0.0185490231961012,0.274162988178432,0.0513686910271645
"S09-KTP1",c(-88.03380771, 41.6782417),0.0391387455165386,0.0668784156441689,0.0743493065237999,0.0851921364665031,0.073319174349308,0.20424078265205,0.00393313262611628,0.0240643732249737,0.385040372610092,0.0204145656898618
"S09-SMC1",c(-88.01264245, 41.65701595),0,0.146694123744965,0.340520650148392,0.288864970207214,0.0953097492456436,0.0968919578008354,0.00116395659279078,0.01431077811867,0.00513105373829603,0.00681931426515803
"S09-VTW0",c(-88.05987667, 41.67081215),0.0198091305792332,0.0376500487327576,0.0670887976884842,0.229067400097847,0.323268234729767,0.0946045524906367,0,0.0236165374517441,0.066012354567647,0.0476988311856985
"S10-ILC1",c(-88.06930047, 41.63776364),0.119904667139053,0.0349553562700748,0.0867027118802071,0.117863528430462,0.107276484370232,0.0119641543133184,0.0091811353340745,0.121979564428329,0.368973836302757,0.000262318149907514
"S10-LEW1",c(-88.07710241, 41.5993927),0.0542666837573051,0.139647975564003,0.128573432564735,0.126342609524727,0.0582150667905807,0.119958657305688,0,0.0566691905260086,0.159181788563728,0.113956447690725
"S10-LPC1",c(-88.04816511, 41.5915763),0,0.108612053096294,0.537715911865234,0.256730616092682,0.0815799310803413,0.0101099526509643,0,0,0.00498898338992149,0
"S10-LPP0",c(-88.07212554, 41.58289314),0.125518992543221,0.032764621078968,0.0900746658444405,0.0770997032523155,0.0210805516690016,0.0557247772812843,0,0.052455622702837,0.486531391739845,0.0566500775748864
